Idade,Total_compras_mensal,Qtd_compras_mensal,Renda_mensal
18,250,1,1400
25,360,2,1400
25,180,2,1400
20,289,1,1400
20,489,3,1400
20,800,4,1800
29,1300,3,1800
22,100,1,1800
23,250,1,1800
21,300,2,1800
30,390,1,2000
27,1000,4,2000
21,2390,5,2000
19,1200,4,2000
22,800,6,2000
22,850,4,2500
23,690,4,2500
24,600,5,2500
19,578,6,2500
25,900,7,2500
25,2800,8,6000
25,1800,8,6000
35,1690,6,6000
45,1500,6,5000
56,800,4,4000
35,2900,7,6000
38,3000,5,6000
37,950,4,6000
27,1050,3,5000
39,1500,6,4000
19,252,2,1410
26,362,3,1410
26,182,3,1410
21,291,2,1410
21,491,4,1410
21,802,5,1810
30,1302,4,1810
23,102,2,1810
24,252,2,1810
22,302,3,1810
31,392,2,2010
28,1002,5,2010
22,2392,6,2010
20,1202,5,2010
23,802,7,2010
23,852,5,2510
24,692,5,2510
25,602,6,2510
20,580,7,2510
26,902,8,2510
26,2802,9,6010
26,1802,9,6010
36,1692,7,6010
46,1502,7,5010
57,802,5,4010
36,2902,8,6010
39,3002,6,6010
38,952,5,6010
28,1052,4,5010
40,1502,7,4010
19,252,2,1410
26,362,3,1410
26,182,3,1410
21,291,2,1410
21,491,4,1410
21,802,5,1810
30,1302,4,1810
23,102,2,1810
24,252,2,1810
22,302,3,1810
31,392,2,2010
28,1002,5,2010
22,2392,6,2010
20,1202,5,2010
23,802,7,2010
23,852,5,2510
24,692,5,2510
25,602,6,2510
20,580,7,2510
26,902,8,2510
26,2802,9,6010
26,1802,9,6010
36,1692,7,6010
46,1502,7,5010
57,802,5,4010
36,2902,8,6010
39,3002,6,6010
38,952,5,6010
28,1052,4,5010
40,1502,7,4010
20,254,3,1420
27,364,4,1420
27,184,4,1420
22,293,3,1420
22,493,5,1420
22,804,6,1820
31,1304,5,1820
24,104,3,1820
25,254,3,1820
23,304,4,1820
32,394,3,2020
29,1004,6,2020
23,2394,7,2020
21,1204,6,2020
24,804,8,2020
24,854,6,2520
25,694,6,2520
26,604,7,2520
21,582,8,2520
27,904,9,2520
27,2804,10,6020
27,1804,10,6020
37,1694,8,6020
47,1504,8,5020
58,804,6,4020
37,2904,9,6020
40,3004,7,6020
39,954,6,6020
29,1054,5,5020
41,1504,8,4020
19,252,2,1410
26,362,3,1410
26,182,3,1410
21,291,2,1410
21,491,4,1410
21,802,5,1810
30,1302,4,1810
23,102,2,1810
24,252,2,1810
22,302,3,1810
31,392,2,2010
28,1002,5,2010
22,2392,6,2010
20,1202,5,2010
23,802,7,2010
23,852,5,2510
24,692,5,2510
25,602,6,2510
20,580,7,2510
26,902,8,2510
26,2802,9,6010
26,1802,9,6010
36,1692,7,6010
46,1502,7,5010
57,802,5,4010
36,2902,8,6010
39,3002,6,6010
38,952,5,6010
28,1052,4,5010
40,1502,7,4010
20,254,3,1420
27,364,4,1420
27,184,4,1420
22,293,3,1420
22,493,5,1420
22,804,6,1820
31,1304,5,1820
24,104,3,1820
25,254,3,1820
23,304,4,1820
32,394,3,2020
29,1004,6,2020
23,2394,7,2020
21,1204,6,2020
24,804,8,2020
24,854,6,2520
25,694,6,2520
26,604,7,2520
21,582,8,2520
27,904,9,2520
27,2804,10,6020
27,1804,10,6020
37,1694,8,6020
47,1504,8,5020
58,804,6,4020
37,2904,9,6020
40,3004,7,6020
39,954,6,6020
29,1054,5,5020
41,1504,8,4020
20,254,3,1420
27,364,4,1420
27,184,4,1420
22,293,3,1420
22,493,5,1420
22,804,6,1820
31,1304,5,1820
24,104,3,1820
25,254,3,1820
23,304,4,1820
32,394,3,2020
29,1004,6,2020
23,2394,7,2020
21,1204,6,2020
24,804,8,2020
24,854,6,2520
25,694,6,2520
26,604,7,2520
21,582,8,2520
27,904,9,2520
27,2804,10,6020
27,1804,10,6020
37,1694,8,6020
47,1504,8,5020
58,804,6,4020
37,2904,9,6020
40,3004,7,6020
39,954,6,6020
29,1054,5,5020
41,1504,8,4020
21,256,4,1430
28,366,5,1430
28,186,5,1430
23,295,4,1430
23,495,6,1430
23,806,7,1830
32,1306,6,1830
25,106,4,1830
26,256,4,1830
24,306,5,1830
33,396,4,2030
30,1006,7,2030
24,2396,8,2030
22,1206,7,2030
25,806,9,2030
25,856,7,2530
26,696,7,2530
27,606,8,2530
22,584,9,2530
28,906,10,2530
28,2806,11,6030
28,1806,11,6030
38,1696,9,6030
48,1506,9,5030
59,806,7,4030
38,2906,10,6030
41,3006,8,6030
40,956,7,6030
30,1056,6,5030
42,1506,9,4030
19,254,1,1405
26,364,2,1405
26,184,2,1405
21,293,1,1405
21,493,3,1405
21,804,4,1805
30,1304,3,1805
23,104,1,1805
24,254,1,1805
22,304,2,1805
31,394,1,2005
28,1004,4,2005
22,2394,5,2005
20,1204,4,2005
23,804,6,2005
23,854,4,2505
24,694,4,2505
25,604,5,2505
20,582,6,2505
26,904,7,2505
26,2804,8,6005
26,1804,8,6005
36,1694,6,6005
46,1504,6,5005
57,804,4,4005
36,2904,7,6005
39,3004,5,6005
38,954,4,6005
28,1054,3,5005
40,1504,6,4005
20,256,2,1415
27,366,3,1415
27,186,3,1415
22,295,2,1415
22,495,4,1415
22,806,5,1815
31,1306,4,1815
24,106,2,1815
25,256,2,1815
23,306,3,1815
32,396,2,2015
29,1006,5,2015
23,2396,6,2015
21,1206,5,2015
24,806,7,2015
24,856,5,2515
25,696,5,2515
26,606,6,2515
21,584,7,2515
27,906,8,2515
27,2806,9,6015
27,1806,9,6015
37,1696,7,6015
47,1506,7,5015
58,806,5,4015
37,2906,8,6015
40,3006,6,6015
39,956,5,6015
29,1056,4,5015
41,1506,7,4015
20,256,2,1415
27,366,3,1415
27,186,3,1415
22,295,2,1415
22,495,4,1415
22,806,5,1815
31,1306,4,1815
24,106,2,1815
25,256,2,1815
23,306,3,1815
32,396,2,2015
29,1006,5,2015
23,2396,6,2015
21,1206,5,2015
24,806,7,2015
24,856,5,2515
25,696,5,2515
26,606,6,2515
21,584,7,2515
27,906,8,2515
27,2806,9,6015
27,1806,9,6015
37,1696,7,6015
47,1506,7,5015
58,806,5,4015
37,2906,8,6015
40,3006,6,6015
39,956,5,6015
29,1056,4,5015
41,1506,7,4015
21,258,3,1425
28,368,4,1425
28,188,4,1425
23,297,3,1425
23,497,5,1425
23,808,6,1825
32,1308,5,1825
25,108,3,1825
26,258,3,1825
24,308,4,1825
33,398,3,2025
30,1008,6,2025
24,2398,7,2025
22,1208,6,2025
25,808,8,2025
25,858,6,2525
26,698,6,2525
27,608,7,2525
22,586,8,2525
28,908,9,2525
28,2808,10,6025
28,1808,10,6025
38,1698,8,6025
48,1508,8,5025
59,808,6,4025
38,2908,9,6025
41,3008,7,6025
40,958,6,6025
30,1058,5,5025
42,1508,8,4025
20,256,2,1415
27,366,3,1415
27,186,3,1415
22,295,2,1415
22,495,4,1415
22,806,5,1815
31,1306,4,1815
24,106,2,1815
25,256,2,1815
23,306,3,1815
32,396,2,2015
29,1006,5,2015
23,2396,6,2015
21,1206,5,2015
24,806,7,2015
24,856,5,2515
25,696,5,2515
26,606,6,2515
21,584,7,2515
27,906,8,2515
27,2806,9,6015
27,1806,9,6015
37,1696,7,6015
47,1506,7,5015
58,806,5,4015
37,2906,8,6015
40,3006,6,6015
39,956,5,6015
29,1056,4,5015
41,1506,7,4015
21,258,3,1425
28,368,4,1425
28,188,4,1425
23,297,3,1425
23,497,5,1425
23,808,6,1825
32,1308,5,1825
25,108,3,1825
26,258,3,1825
24,308,4,1825
33,398,3,2025
30,1008,6,2025
24,2398,7,2025
22,1208,6,2025
25,808,8,2025
25,858,6,2525
26,698,6,2525
27,608,7,2525
22,586,8,2525
28,908,9,2525
28,2808,10,6025
28,1808,10,6025
38,1698,8,6025
48,1508,8,5025
59,808,6,4025
38,2908,9,6025
41,3008,7,6025
40,958,6,6025
30,1058,5,5025
42,1508,8,4025
21,258,3,1425
28,368,4,1425
28,188,4,1425
23,297,3,1425
23,497,5,1425
23,808,6,1825
32,1308,5,1825
25,108,3,1825
26,258,3,1825
24,308,4,1825
33,398,3,2025
30,1008,6,2025
24,2398,7,2025
22,1208,6,2025
25,808,8,2025
25,858,6,2525
26,698,6,2525
27,608,7,2525
22,586,8,2525
28,908,9,2525
28,2808,10,6025
28,1808,10,6025
38,1698,8,6025
48,1508,8,5025
59,808,6,4025
38,2908,9,6025
41,3008,7,6025
40,958,6,6025
30,1058,5,5025
42,1508,8,4025
22,260,4,1435
29,370,5,1435
29,190,5,1435
24,299,4,1435
24,499,6,1435
24,810,7,1835
33,1310,6,1835
26,110,4,1835
27,260,4,1835
25,310,5,1835
34,400,4,2035
31,1010,7,2035
25,2400,8,2035
23,1210,7,2035
26,810,9,2035
26,860,7,2535
27,700,7,2535
28,610,8,2535
23,588,9,2535
29,910,10,2535
29,2810,11,6035
29,1810,11,6035
39,1700,9,6035
49,1510,9,5035
60,810,7,4035
39,2910,10,6035
42,3010,8,6035
41,960,7,6035
31,1060,6,5035
43,1510,9,4035
19,254,1,1405
26,364,2,1405
26,184,2,1405
21,293,1,1405
21,493,3,1405
21,804,4,1805
30,1304,3,1805
23,104,1,1805
24,254,1,1805
22,304,2,1805
31,394,1,2005
28,1004,4,2005
22,2394,5,2005
20,1204,4,2005
23,804,6,2005
23,854,4,2505
24,694,4,2505
25,604,5,2505
20,582,6,2505
26,904,7,2505
26,2804,8,6005
26,1804,8,6005
36,1694,6,6005
46,1504,6,5005
57,804,4,4005
36,2904,7,6005
39,3004,5,6005
38,954,4,6005
28,1054,3,5005
40,1504,6,4005
20,256,2,1415
27,366,3,1415
27,186,3,1415
22,295,2,1415
22,495,4,1415
22,806,5,1815
31,1306,4,1815
24,106,2,1815
25,256,2,1815
23,306,3,1815
32,396,2,2015
29,1006,5,2015
23,2396,6,2015
21,1206,5,2015
24,806,7,2015
24,856,5,2515
25,696,5,2515
26,606,6,2515
21,584,7,2515
27,906,8,2515
27,2806,9,6015
27,1806,9,6015
37,1696,7,6015
47,1506,7,5015
58,806,5,4015
37,2906,8,6015
40,3006,6,6015
39,956,5,6015
29,1056,4,5015
41,1506,7,4015
20,256,2,1415
27,366,3,1415
27,186,3,1415
22,295,2,1415
22,495,4,1415
22,806,5,1815
31,1306,4,1815
24,106,2,1815
25,256,2,1815
23,306,3,1815
32,396,2,2015
29,1006,5,2015
23,2396,6,2015
21,1206,5,2015
24,806,7,2015
24,856,5,2515
25,696,5,2515
26,606,6,2515
21,584,7,2515
27,906,8,2515
27,2806,9,6015
27,1806,9,6015
37,1696,7,6015
47,1506,7,5015
58,806,5,4015
37,2906,8,6015
40,3006,6,6015
39,956,5,6015
29,1056,4,5015
41,1506,7,4015
21,258,3,1425
28,368,4,1425
28,188,4,1425
23,297,3,1425
23,497,5,1425
23,808,6,1825
32,1308,5,1825
25,108,3,1825
26,258,3,1825
24,308,4,1825
33,398,3,2025
30,1008,6,2025
24,2398,7,2025
22,1208,6,2025
25,808,8,2025
25,858,6,2525
26,698,6,2525
27,608,7,2525
22,586,8,2525
28,908,9,2525
28,2808,10,6025
28,1808,10,6025
38,1698,8,6025
48,1508,8,5025
59,808,6,4025
38,2908,9,6025
41,3008,7,6025
40,958,6,6025
30,1058,5,5025
42,1508,8,4025
20,256,2,1415
27,366,3,1415
27,186,3,1415
22,295,2,1415
22,495,4,1415
22,806,5,1815
31,1306,4,1815
24,106,2,1815
25,256,2,1815
23,306,3,1815
32,396,2,2015
29,1006,5,2015
23,2396,6,2015
21,1206,5,2015
24,806,7,2015
24,856,5,2515
25,696,5,2515
26,606,6,2515
21,584,7,2515
27,906,8,2515
27,2806,9,6015
27,1806,9,6015
37,1696,7,6015
47,1506,7,5015
58,806,5,4015
37,2906,8,6015
40,3006,6,6015
39,956,5,6015
29,1056,4,5015
41,1506,7,4015
21,258,3,1425
28,368,4,1425
28,188,4,1425
23,297,3,1425
23,497,5,1425
23,808,6,1825
32,1308,5,1825
25,108,3,1825
26,258,3,1825
24,308,4,1825
33,398,3,2025
30,1008,6,2025
24,2398,7,2025
22,1208,6,2025
25,808,8,2025
25,858,6,2525
26,698,6,2525
27,608,7,2525
22,586,8,2525
28,908,9,2525
28,2808,10,6025
28,1808,10,6025
38,1698,8,6025
48,1508,8,5025
59,808,6,4025
38,2908,9,6025
41,3008,7,6025
40,958,6,6025
30,1058,5,5025
42,1508,8,4025
21,258,3,1425
28,368,4,1425
28,188,4,1425
23,297,3,1425
23,497,5,1425
23,808,6,1825
32,1308,5,1825
25,108,3,1825
26,258,3,1825
24,308,4,1825
33,398,3,2025
30,1008,6,2025
24,2398,7,2025
22,1208,6,2025
25,808,8,2025
25,858,6,2525
26,698,6,2525
27,608,7,2525
22,586,8,2525
28,908,9,2525
28,2808,10,6025
28,1808,10,6025
38,1698,8,6025
48,1508,8,5025
59,808,6,4025
38,2908,9,6025
41,3008,7,6025
40,958,6,6025
30,1058,5,5025
42,1508,8,4025
22,260,4,1435
29,370,5,1435
29,190,5,1435
24,299,4,1435
24,499,6,1435
24,810,7,1835
33,1310,6,1835
26,110,4,1835
27,260,4,1835
25,310,5,1835
34,400,4,2035
31,1010,7,2035
25,2400,8,2035
23,1210,7,2035
26,810,9,2035
26,860,7,2535
27,700,7,2535
28,610,8,2535
23,588,9,2535
29,910,10,2535
29,2810,11,6035
29,1810,11,6035
39,1700,9,6035
49,1510,9,5035
60,810,7,4035
39,2910,10,6035
42,3010,8,6035
41,960,7,6035
31,1060,6,5035
43,1510,9,4035
22,256,1,1425
29,366,2,1425
29,186,2,1425
24,295,1,1425
24,495,3,1425
24,806,4,1825
33,1306,3,1825
26,106,1,1825
27,256,1,1825
25,306,2,1825
34,396,1,2025
31,1006,4,2025
25,2396,5,2025
23,1206,4,2025
26,806,6,2025
26,856,4,2525
27,696,4,2525
28,606,5,2525
23,584,6,2525
29,906,7,2525
29,2806,8,6025
29,1806,8,6025
39,1696,6,6025
49,1506,6,5025
60,806,4,4025
39,2906,7,6025
42,3006,5,6025
41,956,4,6025
31,1056,3,5025
43,1506,6,4025
23,258,2,1435
30,368,3,1435
30,188,3,1435
25,297,2,1435
25,497,4,1435
25,808,5,1835
34,1308,4,1835
27,108,2,1835
28,258,2,1835
26,308,3,1835
35,398,2,2035
32,1008,5,2035
26,2398,6,2035
24,1208,5,2035
27,808,7,2035
27,858,5,2535
28,698,5,2535
29,608,6,2535
24,586,7,2535
30,908,8,2535
30,2808,9,6035
30,1808,9,6035
40,1698,7,6035
50,1508,7,5035
61,808,5,4035
40,2908,8,6035
43,3008,6,6035
42,958,5,6035
32,1058,4,5035
44,1508,7,4035
23,258,2,1435
30,368,3,1435
30,188,3,1435
25,297,2,1435
25,497,4,1435
25,808,5,1835
34,1308,4,1835
27,108,2,1835
28,258,2,1835
26,308,3,1835
35,398,2,2035
32,1008,5,2035
26,2398,6,2035
24,1208,5,2035
27,808,7,2035
27,858,5,2535
28,698,5,2535
29,608,6,2535
24,586,7,2535
30,908,8,2535
30,2808,9,6035
30,1808,9,6035
40,1698,7,6035
50,1508,7,5035
61,808,5,4035
40,2908,8,6035
43,3008,6,6035
42,958,5,6035
32,1058,4,5035
44,1508,7,4035
24,260,3,1445
31,370,4,1445
31,190,4,1445
26,299,3,1445
26,499,5,1445
26,810,6,1845
35,1310,5,1845
28,110,3,1845
29,260,3,1845
27,310,4,1845
36,400,3,2045
33,1010,6,2045
27,2400,7,2045
25,1210,6,2045
28,810,8,2045
28,860,6,2545
29,700,6,2545
30,610,7,2545
25,588,8,2545
31,910,9,2545
31,2810,10,6045
31,1810,10,6045
41,1700,8,6045
51,1510,8,5045
62,810,6,4045
41,2910,9,6045
44,3010,7,6045
43,960,6,6045
33,1060,5,5045
45,1510,8,4045
23,258,2,1435
30,368,3,1435
30,188,3,1435
25,297,2,1435
25,497,4,1435
25,808,5,1835
34,1308,4,1835
27,108,2,1835
28,258,2,1835
26,308,3,1835
35,398,2,2035
32,1008,5,2035
26,2398,6,2035
24,1208,5,2035
27,808,7,2035
27,858,5,2535
28,698,5,2535
29,608,6,2535
24,586,7,2535
30,908,8,2535
30,2808,9,6035
30,1808,9,6035
40,1698,7,6035
50,1508,7,5035
61,808,5,4035
40,2908,8,6035
43,3008,6,6035
42,958,5,6035
32,1058,4,5035
44,1508,7,4035
24,260,3,1445
31,370,4,1445
31,190,4,1445
26,299,3,1445
26,499,5,1445
26,810,6,1845
35,1310,5,1845
28,110,3,1845
29,260,3,1845
27,310,4,1845
36,400,3,2045
33,1010,6,2045
27,2400,7,2045
25,1210,6,2045
28,810,8,2045
28,860,6,2545
29,700,6,2545
30,610,7,2545
25,588,8,2545
31,910,9,2545
31,2810,10,6045
31,1810,10,6045
41,1700,8,6045
51,1510,8,5045
62,810,6,4045
41,2910,9,6045
44,3010,7,6045
43,960,6,6045
33,1060,5,5045
45,1510,8,4045
24,260,3,1445
31,370,4,1445
31,190,4,1445
